Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Daftar Akun,Chrome 124.0.0.0,,,17-05-2024 09:27:39,17-05-2024 09:28:41,1m - 2.448s,PASSED
,,,,,,,
Test Cases/Test Case 5 (Normal Daftar Akun),Chrome 124.0.0.0,,,17-05-2024 09:27:39,17-05-2024 09:28:03,23.773s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,17-05-2024 09:27:39,17-05-2024 09:27:42,2.226s,PASSED
maximizeWindow(),Chrome 124.0.0.0,,,17-05-2024 09:27:42,17-05-2024 09:27:42,0.166s,PASSED
"navigateToUrl(""https://metrodataacademy.id/"")",Chrome 124.0.0.0,,,17-05-2024 09:27:42,17-05-2024 09:27:46,4.155s,PASSED
takeScreenshot(),Chrome 124.0.0.0,Berhasil Membuka Website Metrodata Academy,,17-05-2024 09:27:46,17-05-2024 09:27:52,6.232s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/a_Daftar""))",Chrome 124.0.0.0,,,17-05-2024 09:27:52,17-05-2024 09:27:53,1.286s,PASSED
"setText(findTestObject(""Object Repository/Page_Metrodata Academy/input__name""), ""Daftar Akun Coba"")",Chrome 124.0.0.0,,,17-05-2024 09:27:53,17-05-2024 09:27:54,0.779s,PASSED
"setText(findTestObject(""Object Repository/Page_Metrodata Academy/input__email""), ""testdaftar@gmail.com"")",Chrome 124.0.0.0,,,17-05-2024 09:27:54,17-05-2024 09:27:55,0.811s,PASSED
"setText(findTestObject(""Object Repository/Page_Metrodata Academy/input__password""), ""XI61MEO8PAA="")",Chrome 124.0.0.0,,,17-05-2024 09:27:55,17-05-2024 09:27:56,0.722s,PASSED
"setText(findTestObject(""Object Repository/Page_Metrodata Academy/input__confirmpassword""), ""XI61MEO8PAA="")",Chrome 124.0.0.0,,,17-05-2024 09:27:56,17-05-2024 09:27:56,0.674s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/input__termsCondition""))",Chrome 124.0.0.0,Klik term condition,,17-05-2024 09:27:56,17-05-2024 09:27:57,0.339s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_Daftar""))",Chrome 124.0.0.0,Klik Tombol Daftar,,17-05-2024 09:27:57,17-05-2024 09:27:57,0.556s,PASSED
